rm,lstat,ptratio,dis,nox,crim,tax,age,price
6.145,6.86,19.7,7.8148,0.453,0.15445,284,29.2,23.3
5.927,9.22,19.7,6.932,0.453,0.10328,284,47.2,19.6
5.741,13.15,19.7,7.2254,0.453,0.14932,284,66.2,18.7
5.966,14.44,19.7,6.8185,0.453,0.17171,284,93.4,16.0
6.456,6.73,19.7,7.2255,0.453,0.11027,284,67.8,22.2
6.762,9.5,19.7,7.9809,0.453,0.1265,284,43.4,25.0
7.104,8.05,18.6,9.2229,0.4161,0.01951,216,59.5,33.0
6.29,4.67,16.1,6.6115,0.398,0.03584,337,17.8,23.5
5.787,10.24,16.1,6.6115,0.398,0.04379,337,31.1,19.4
5.878,8.1,18.9,6.498,0.409,0.05789,345,21.4,22.0
5.594,13.09,18.9,6.498,0.409,0.13554,345,36.8,17.4
5.885,8.79,18.9,6.498,0.409,0.12816,345,33.0,20.9
6.417,6.72,19.2,5.2873,0.413,0.08826,305,6.6,24.2
5.961,9.88,19.2,5.2873,0.413,0.15876,305,17.5,21.7
6.065,5.52,19.2,5.2873,0.413,0.09164,305,7.8,22.8
6.245,11.43,19.2,5.2873,0.413,0.19539,305,6.2,23.4
6.273,6.78,18.7,4.2515,0.437,0.07896,398,76.80000000000001,24.1
6.286,8.94,18.7,4.5026,0.437,0.09512,398,45.0,21.4
6.279,11.97,18.7,4.0522,0.437,0.10153,398,74.5,20.0
6.14,10.27,18.7,4.0905,0.437,0.08707,398,45.8,20.8
6.232,12.34,18.7,5.0141,0.437,0.05646,398,53.7,21.2
5.874,11.43,18.7,4.5026,0.437,0.08387,398,36.6,20.3
6.727,5.29,19.0,5.4007,0.426,0.04113,281,33.5,28.0
6.619,7.22,19.0,5.4007,0.426,0.04462,281,70.4,23.9
6.302,6.72,19.0,5.4007,0.426,0.03659,281,32.2,24.8
6.167,7.51,19.0,5.4007,0.426,0.03551,281,46.7,22.9
6.389,9.62,18.5,4.7794,0.449,0.05059,247,48.0,23.9
6.63,6.53,18.5,4.4377,0.449,0.05735,247,56.1,26.6
6.015,12.86,18.5,4.4272,0.449,0.05188,247,45.1,22.5
6.121,11.43,18.5,3.7476,0.449,0.07151,247,56.8,22.2
7.007,5.5,17.8,3.4217,0.489,0.0566,270,86.3,23.6
7.079,5.7,17.8,3.4145,0.489,0.05302,270,63.1,28.7
6.417,8.81,17.8,3.0923,0.489,0.04684,270,66.1,22.6
6.405,8.2,17.8,3.0921,0.489,0.03932,270,73.9,22.0
6.442,8.16,18.2,3.6659,0.464,0.04203,270,53.6,22.9
6.211,6.21,18.2,3.6659,0.464,0.02875,270,28.9,25.0
6.249,10.59,18.2,3.615,0.464,0.04294,270,77.3,20.6
6.625,6.65,18.0,3.4952,0.445,0.12204,276,57.8,28.4
6.163,11.34,18.0,3.4952,0.445,0.11504,276,69.6,21.4
7.416,6.19,18.0,3.4952,0.445,0.0686,276,62.5,33.2
6.727,9.42,20.9,2.7778,0.52,0.14866,384,79.9,27.5
6.781,7.67,20.9,2.8561,0.52,0.11432,384,71.3,26.5
6.405,10.63,20.9,2.7147,0.52,0.22876,384,85.4,18.6
6.137,13.44,20.9,2.7147,0.52,0.21161,384,76.80000000000001,19.3
6.167,12.33,20.9,2.421,0.52,0.1396,384,90.0,20.1
5.851,16.47,20.9,2.1069,0.52,0.13262,384,96.7,19.5
5.836,18.66,20.9,2.211,0.52,0.1712,384,91.9,19.5
6.127,14.09,20.9,2.1224,0.52,0.13117,384,85.2,20.4
6.474,12.27,20.9,2.4329,0.52,0.12802,384,97.1,19.8
6.229,15.55,20.9,2.5451,0.52,0.26363,384,91.2,19.4
6.195,13.0,20.9,2.7778,0.52,0.10793,384,54.4,21.7
6.715,10.16,17.8,2.6775,0.547,0.10084,432,81.6,22.8
5.913,16.21,17.8,2.3534,0.547,0.12329,432,92.9,18.8
6.092,17.09,17.8,2.548,0.547,0.22212,432,95.4,18.7
6.254,10.45,17.8,2.2565,0.547,0.14231,432,84.2,18.5
5.928,15.76,17.8,2.4631,0.547,0.253715,432,88.2,18.3
6.176,11.43,17.8,2.7301,0.547,0.13158,432,72.5,21.2
6.021,10.3,17.8,2.7474,0.547,0.15098,432,82.6,19.2
5.872,15.37,17.8,2.4775,0.547,0.13058,432,73.1,20.4
5.731,13.61,17.8,2.7592,0.547,0.14476,432,65.2,19.3
5.87,14.37,19.1,2.2577,0.581,0.06899,188,69.7,22.0
6.004,14.27,19.1,2.1974,0.581,0.07165,188,84.1,20.3
5.961,17.93,19.1,2.0869,0.581,0.09299,188,92.9,20.5
5.856,25.41,19.1,1.9444,0.581,0.15038,188,97.0,17.3
5.879,17.58,19.1,2.0063,0.581,0.09849,188,95.8,18.8
5.986,14.81,19.1,1.9929,0.581,0.16902,188,88.4,21.4
5.613,27.26,19.1,1.7572,0.581,0.38735,188,76.80000000000001,15.7
5.693,17.19,21.2,1.7883,0.624,0.25915,437,96.0,16.2
6.431,15.39,21.2,1.8125,0.624,0.32543,437,98.8,18.0
5.637,18.34,21.2,1.9799,0.624,0.88125,437,94.7,14.3
6.458,12.6,21.2,2.1185,0.624,0.34006,437,98.9,19.2
6.326,12.26,21.2,2.271,0.624,1.19294,437,97.7,19.6
6.372,11.12,21.2,2.3274,0.624,0.59005,437,97.9,23.0
5.822,15.03,21.2,2.4699,0.624,0.32982,437,95.4,18.4
5.757,17.31,21.2,2.346,0.624,0.97617,437,98.4,15.6
6.335,16.96,21.2,2.1107,0.624,0.55778,437,98.2,18.1
5.942,16.9,21.2,1.9669,0.624,0.32264,437,93.5,17.4
6.454,14.59,21.2,1.8498,0.624,0.35233,437,98.4,17.1
5.857,21.32,21.2,1.6686,0.624,0.2498,437,76.80000000000001,13.3
6.151,18.46,21.2,1.6687,0.624,0.54452,437,97.9,17.8
6.174,24.16,21.2,1.6119,0.624,0.2909,437,93.6,14.0
5.019,34.41,21.2,1.4394,0.624,1.62864,437,100.0,14.4
5.403,26.82,14.7,1.3216,0.871,3.32105,403,100.0,13.4
5.468,26.42,14.7,1.4118,0.871,4.0974,403,100.0,15.6
4.903,29.29,14.7,1.3459,0.871,2.77974,403,97.8,11.8
6.13,27.8,14.7,1.4191,0.871,2.37934,403,100.0,13.8
5.628,16.65,14.7,1.5166,0.871,2.15505,403,100.0,15.6
4.926,29.53,14.7,1.4608,0.871,2.36862,403,95.7,14.6
5.186,28.32,14.7,1.5296,0.871,2.33099,403,93.8,17.8
5.597,21.45,14.7,1.5257,0.871,2.73397,403,94.9,15.4
6.122,14.1,14.7,1.618,0.871,1.6566,403,76.80000000000001,21.5
5.404,13.28,14.7,1.5916,0.871,1.49632,403,100.0,19.6
5.012,12.12,14.7,1.6102,0.871,1.12658,403,88.0,15.3
5.709,15.79,14.7,1.6232,0.871,2.14918,403,98.5,19.4
6.129,15.12,14.7,1.7494,0.871,1.41385,403,96.0,17.0
6.152,15.02,14.7,1.7455,0.871,3.53501,403,76.80000000000001,15.6
5.272,16.14,14.7,1.7364,0.871,2.44668,403,94.0,13.1
6.066,6.43,14.7,1.7573,0.605,1.34284,403,100.0,24.3
6.51,7.39,14.7,1.7659,0.871,1.42502,403,100.0,23.3
6.25,5.5,14.7,1.7984,0.605,1.27346,403,92.6,27.0
5.854,11.64,14.7,2.422,0.605,2.24236,403,91.8,22.7
6.101,9.81,14.7,2.2834,0.605,2.924,403,93.0,25.0
5.877,12.14,14.7,2.4259,0.605,1.80028,403,79.2,23.8
6.319,11.1,14.7,2.1,0.605,2.3004,403,96.1,23.8
6.402,11.32,14.7,2.2625,0.605,2.44953,403,95.2,22.3
5.875,14.43,14.7,2.4259,0.605,1.20742,403,94.6,17.4
5.88,12.03,14.7,2.3887,0.605,2.3139,403,97.3,19.1
5.572,14.69,16.6,2.5961,0.51,0.13914,296,88.5,23.1
6.416,9.04,16.6,2.6463,0.51,0.09178,296,76.80000000000001,23.6
5.859,9.64,16.6,2.7019,0.51,0.08447,296,68.7,22.6
6.546,5.33,16.6,3.1323,0.51,0.06664,296,33.1,29.4
6.02,10.11,16.6,3.5549,0.51,0.07022,296,47.2,23.2
6.315,6.29,16.6,3.3175,0.51,0.05425,296,73.4,24.6
6.86,6.92,16.6,2.9153,0.51,0.06642,296,74.4,29.9
6.144,9.45,17.8,2.5979,0.488,0.06888,193,62.2,36.2
6.563,5.68,17.8,2.847,0.488,0.253715,193,95.6,32.5
5.604,13.98,17.8,2.9879,0.488,0.08308,193,89.8,26.4
6.153,13.15,17.8,3.2797,0.488,0.06047,193,68.8,29.6
6.782,6.68,15.2,3.7886,0.437,0.07875,398,41.1,32.0
6.556,4.56,15.2,4.5667,0.437,0.12579,398,29.1,29.8
7.185,5.39,15.2,4.5667,0.437,0.0837,398,38.9,34.9
6.739,4.69,15.2,6.4798,0.437,0.253715,398,30.8,30.5
7.178,2.87,15.2,6.4798,0.437,0.253715,398,26.3,36.4
6.8,5.03,15.6,6.2196,0.401,0.02187,265,76.80000000000001,31.1
6.604,4.38,15.6,6.2196,0.401,0.01439,265,18.8,29.1
7.287,4.08,12.6,7.309,0.404,0.253715,329,34.1,33.3
7.107,8.61,12.6,7.309,0.404,0.04666,329,36.6,30.3
7.274,6.62,12.6,7.309,0.404,0.03768,329,38.3,34.6
6.975,4.56,17.0,7.6534,0.403,0.0315,402,15.3,34.9
7.135,4.45,17.0,7.6534,0.403,0.01778,402,13.9,32.9
6.162,7.43,14.7,6.27,0.415,0.03445,348,38.4,24.1
5.891,10.87,18.6,3.9454,0.489,0.13642,277,22.3,22.6
6.326,10.97,18.6,4.3549,0.489,0.22969,277,52.5,24.4
5.783,11.43,18.6,4.3549,0.489,0.25199,277,72.7,22.5
6.064,14.66,18.6,4.2392,0.489,0.13587,277,59.1,24.4
5.344,23.09,18.6,3.875,0.489,0.43571,277,100.0,20.0
5.96,17.27,18.6,3.8771,0.489,0.17446,277,92.1,21.7
5.404,23.98,18.6,3.665,0.489,0.37578,277,88.6,19.3
5.807,16.03,18.6,3.6526,0.489,0.21719,277,53.8,22.4
6.375,9.38,18.6,3.9454,0.489,0.14052,277,32.3,28.1
5.412,29.55,18.6,3.5875,0.489,0.28955,277,9.8,23.7
6.182,9.47,18.6,3.9454,0.489,0.19802,277,76.80000000000001,25.0
5.888,13.51,16.4,3.1121,0.55,0.0456,276,56.0,23.3
6.642,9.69,16.4,3.4211,0.55,0.07013,276,85.1,28.7
5.951,17.92,16.4,2.8893,0.55,0.11069,276,93.8,21.5
6.373,10.5,16.4,3.3633,0.55,0.11425,276,92.4,23.0
6.951,9.71,17.4,2.8617,0.507,0.35809,307,88.5,26.7
6.164,21.46,17.4,3.048,0.507,0.40771,307,91.3,21.7
6.879,9.93,17.4,3.2721,0.507,0.62356,307,77.7,27.5
6.618,7.6,17.4,3.2721,0.507,0.6147,307,80.8,30.1
7.163,6.36,17.4,3.2157,0.504,0.41238,307,79.9,31.6
6.552,3.76,17.4,3.3751,0.504,0.253715,307,21.4,31.5
5.981,11.65,17.4,3.6715,0.504,0.537,307,68.1,24.3
7.412,5.25,17.4,3.6715,0.504,0.46296,307,76.9,31.7
6.726,8.05,17.4,3.6519,0.507,0.44791,307,66.5,29.0
6.086,10.88,17.4,3.6519,0.507,0.33045,307,61.5,24.0
6.631,9.54,17.4,4.148,0.507,0.253715,307,76.5,25.1
7.358,4.73,17.4,4.148,0.507,0.51183,307,71.6,31.5
6.481,6.36,16.6,6.1899,0.428,0.08244,300,18.5,23.7
6.606,7.37,16.6,6.1899,0.428,0.09252,300,42.2,23.3
6.897,11.38,16.6,6.3361,0.428,0.11329,300,54.3,22.0
6.095,12.4,16.6,6.3361,0.428,0.253715,300,65.1,20.1
6.358,11.22,16.6,7.0355,0.428,0.1029,300,52.9,22.2
6.393,5.19,16.6,7.0355,0.428,0.12757,300,7.8,23.7
5.593,12.5,19.1,7.9549,0.431,0.20608,330,76.5,17.6
5.605,18.46,19.1,7.9549,0.431,0.19133,330,70.2,18.5
6.108,9.16,19.1,8.0555,0.431,0.33983,330,34.9,24.3
6.226,10.15,19.1,8.0555,0.431,0.19657,330,79.2,20.5
6.433,9.52,19.1,7.8265,0.431,0.16439,330,49.1,24.5
6.718,6.56,19.1,7.8265,0.431,0.19073,330,17.5,26.2
6.487,5.9,19.1,7.3967,0.431,0.1403,330,13.0,24.4
6.438,3.59,19.1,7.3967,0.431,0.21409,330,8.9,24.8
6.957,3.53,19.1,8.9067,0.431,0.08221,330,6.8,29.6
6.108,6.57,16.4,9.2203,0.392,0.04819,315,32.0,21.9
5.876,9.25,16.4,9.2203,0.392,0.03548,315,19.1,20.9
7.333,7.79,13.0,1.8946,0.647,0.66351,264,100.0,36.0
6.842,6.9,13.0,2.0107,0.647,0.65665,264,100.0,30.1
7.203,9.59,13.0,2.1121,0.647,0.54011,264,81.8,33.8
7.327,11.25,13.0,2.0788,0.647,0.82526,264,94.5,31.0
7.206,8.1,13.0,1.9301,0.647,0.55007,264,91.6,36.5
5.56,10.45,13.0,1.9865,0.647,0.76162,264,62.8,22.8
7.014,14.79,13.0,2.1329,0.647,0.7857,264,84.6,30.7
5.92,13.65,18.6,3.9175,0.464,0.09065,223,61.5,20.7
5.856,13.0,18.6,4.429,0.464,0.29916,223,42.1,21.1
6.24,11.43,18.6,4.429,0.464,0.16211,223,16.3,25.2
6.538,7.73,18.6,3.9175,0.464,0.1146,223,58.7,24.4
7.691,6.58,18.6,4.3665,0.464,0.22188,223,51.8,35.2
6.758,3.53,17.6,4.0776,0.447,0.05644,254,32.9,32.4
6.854,2.98,17.6,4.2673,0.447,0.09604,254,42.8,32.0
7.267,6.05,17.6,4.7872,0.447,0.10469,254,49.0,33.2
6.826,11.43,17.6,4.8628,0.447,0.06127,254,27.6,33.1
6.482,7.19,17.6,4.1403,0.447,0.07978,254,32.1,29.1
6.812,4.85,14.9,4.1007,0.4429,0.21038,216,32.2,35.1
6.968,4.59,14.9,5.2447,0.4429,0.03705,216,76.80000000000001,35.4
7.088,7.85,15.3,7.3073,0.4,0.00906,285,20.8,32.2
6.453,8.23,15.3,7.3073,0.389,0.01096,300,31.9,22.0
6.23,12.93,18.2,9.0892,0.385,0.01965,241,76.80000000000001,20.1
6.209,7.14,16.6,7.3172,0.405,0.03871,293,31.3,23.2
6.315,7.6,16.6,7.3172,0.405,0.253715,293,45.6,22.3
6.565,9.51,16.6,7.3172,0.405,0.04297,293,22.9,24.8
6.861,3.33,19.2,5.1167,0.411,0.03502,245,27.9,28.5
6.63,4.7,19.2,5.1167,0.411,0.03615,245,23.4,27.9
6.127,8.58,16.0,5.5027,0.437,0.08265,289,18.4,23.9
6.009,10.4,16.0,5.5027,0.437,0.08199,289,42.3,21.7
6.678,6.27,16.0,5.9604,0.437,0.12932,289,31.1,28.6
6.549,7.39,16.0,5.9604,0.437,0.05372,289,51.0,27.1
5.79,15.84,16.0,6.32,0.437,0.14103,289,58.0,20.3
6.345,4.97,14.8,7.8278,0.4,0.06466,358,20.1,22.5
7.041,4.74,14.8,7.8278,0.4,0.05561,358,10.0,29.0
6.871,6.07,14.8,7.8278,0.4,0.04417,358,47.4,24.8
6.59,9.5,16.1,5.4917,0.433,0.03537,329,40.4,22.0
6.495,8.67,16.1,5.4917,0.433,0.253715,329,18.4,26.4
6.982,4.86,16.1,5.4917,0.433,0.1,329,17.7,33.1
7.236,6.93,18.4,4.022,0.472,0.05515,222,41.1,36.1
6.616,8.93,18.4,3.37,0.472,0.05479,222,58.1,28.4
7.42,6.47,18.4,3.0992,0.472,0.07503,222,71.9,33.4
6.849,7.53,18.4,3.1827,0.472,0.04932,222,70.3,28.2
6.635,4.54,18.4,3.3175,0.544,0.49298,304,82.5,22.8
5.972,9.97,18.4,3.1025,0.544,0.3494,304,76.7,20.3
4.973,12.64,18.4,2.5194,0.544,2.63548,304,37.8,16.1
6.122,5.98,18.4,2.6403,0.544,0.79041,304,52.8,22.1
6.023,11.72,18.4,2.834,0.544,0.26169,304,90.4,19.4
6.266,7.9,18.4,3.2628,0.544,0.26938,304,82.8,21.6
6.567,9.28,18.4,3.6023,0.544,0.3692,304,87.3,23.8
5.705,11.5,18.4,3.945,0.544,0.25356,304,77.7,16.2
5.914,18.33,18.4,3.9986,0.544,0.31827,304,76.80000000000001,17.8
5.782,15.94,18.4,4.0317,0.544,0.24522,304,71.7,19.8
6.382,10.36,18.4,3.5325,0.544,0.40202,304,67.2,23.1
6.113,12.73,18.4,4.0019,0.544,0.47547,304,58.8,21.0
6.426,7.2,19.6,4.5404,0.493,0.1676,287,52.3,23.8
6.376,6.87,19.6,4.5404,0.493,0.18159,287,54.3,23.1
6.041,7.7,19.6,4.7211,0.493,0.35114,287,49.9,20.4
5.708,11.74,19.6,4.7211,0.493,0.28392,287,74.3,18.5
6.415,6.12,19.6,4.7211,0.493,0.34109,287,40.1,25.0
6.431,5.08,19.6,5.4159,0.493,0.19186,287,14.7,24.6
6.312,6.15,19.6,5.4159,0.493,0.30347,287,28.9,23.0
6.083,12.79,19.6,5.4159,0.493,0.24103,287,43.7,22.2
5.868,9.97,16.9,5.2146,0.46,0.06617,430,25.8,19.3
6.333,7.34,16.9,5.2146,0.46,0.06724,430,17.2,22.6
6.144,9.09,16.9,5.8736,0.46,0.04544,430,32.2,19.8
5.706,12.43,16.9,6.6407,0.4379,0.05023,304,28.4,17.1
6.031,7.83,16.9,6.6407,0.4379,0.03466,304,23.3,19.4
6.316,5.68,20.2,6.4584,0.515,0.05083,224,38.1,22.2
6.31,6.75,20.2,6.4584,0.515,0.03738,224,38.5,20.7
6.037,8.01,20.2,5.9853,0.515,0.03961,224,34.5,21.1
5.869,9.8,20.2,5.2311,0.515,0.03427,224,46.3,19.5
5.895,10.56,20.2,5.615,0.515,0.03041,224,59.6,18.5
6.059,8.51,20.2,4.8122,0.515,0.03306,224,37.3,20.6
5.985,9.74,20.2,4.8122,0.515,0.05497,224,45.4,19.0
5.968,9.29,20.2,4.8122,0.515,0.06151,224,58.5,18.7
7.241,5.49,15.5,7.0379,0.442,0.01301,284,49.3,32.7
6.54,8.65,15.9,6.2669,0.518,0.02498,422,59.7,16.5
6.696,7.18,17.6,5.7321,0.484,0.02543,370,56.4,23.9
6.874,4.61,17.6,6.4654,0.484,0.03049,370,28.1,31.2
6.014,10.53,18.8,8.0136,0.442,0.03113,352,48.5,17.5
5.898,12.67,18.8,8.0136,0.442,0.06162,352,52.3,17.2
6.516,6.36,17.9,8.5353,0.429,0.0187,351,27.7,23.1
6.635,5.99,17.0,8.344,0.435,0.01501,280,29.7,24.5
6.939,11.43,19.7,8.7921,0.429,0.02899,335,34.5,26.6
6.49,11.43,19.7,8.7921,0.429,0.06211,335,44.4,22.9
6.579,5.49,18.3,10.7103,0.411,0.0795,411,35.9,24.1
5.884,7.79,18.3,10.7103,0.411,0.07244,411,18.5,18.6
6.728,4.5,17.0,12.1265,0.41,0.01709,187,36.1,30.1
5.663,8.05,22.0,10.5857,0.413,0.04301,334,21.9,18.2
5.936,5.57,22.0,10.5857,0.413,0.10659,334,76.80000000000001,20.6
6.212,17.6,20.2,2.1222,0.77,8.98296,666,97.4,17.8
6.395,13.27,20.2,2.5052,0.77,3.8497,666,91.0,21.7
6.127,11.48,20.2,2.7227,0.77,5.20177,666,83.4,22.7
6.112,12.67,20.2,2.5091,0.77,4.26131,666,81.3,22.6
6.398,7.79,20.2,2.5182,0.77,4.54192,666,88.0,25.0
6.251,14.19,20.2,2.2955,0.77,3.83684,666,91.1,19.9
5.362,10.19,20.2,2.1036,0.77,3.67822,666,96.2,20.8
5.803,14.64,20.2,1.9047,0.77,4.22239,666,89.0,16.8
8.78,5.29,20.2,1.9047,0.718,3.47428,666,82.9,21.9
3.561,7.12,20.2,1.6132,0.718,4.55587,666,87.9,27.5
4.963,14.0,20.2,1.7523,0.718,3.69695,666,91.4,21.9
3.863,13.33,20.2,1.5106,0.631,13.5222,666,100.0,23.1
4.906,34.77,20.2,1.1742,0.668,11.1081,666,100.0,13.8
4.138,37.97,20.2,1.137,0.668,18.4982,666,100.0,13.8
7.313,13.44,20.2,1.3163,0.671,19.6091,666,97.9,15.0
6.649,11.43,20.2,1.3449,0.671,15.288,666,93.3,13.9
6.794,21.24,20.2,1.358,0.671,9.82349,666,98.8,13.3
6.38,23.69,20.2,1.3861,0.671,23.6482,666,96.2,13.1
6.223,21.78,20.2,1.3861,0.671,17.8667,666,100.0,10.2
6.968,17.21,20.2,1.4165,0.671,88.9762,666,91.9,10.4
6.545,21.08,20.2,1.5192,0.671,15.8744,666,99.1,10.9
5.536,23.6,20.2,1.5804,0.7,9.18702,666,100.0,11.3
5.52,11.43,20.2,1.5331,0.7,7.99248,666,100.0,12.3
4.368,30.63,20.2,1.4395,0.7,20.0849,666,91.2,8.8
5.277,30.81,20.2,1.4261,0.7,16.8118,666,98.1,7.2
4.652,28.28,20.2,1.4672,0.7,24.3938,666,100.0,10.5
5.0,31.99,20.2,1.5184,0.7,22.5971,666,89.5,7.4
4.88,30.62,20.2,1.5895,0.7,14.3337,666,100.0,10.2
5.39,20.85,20.2,1.7281,0.7,8.15174,666,98.9,11.5
5.713,17.11,20.2,1.9265,0.7,6.96215,666,97.0,15.1
6.051,18.76,20.2,2.1678,0.7,5.29305,666,82.5,23.2
5.036,25.68,20.2,1.77,0.7,11.5779,666,97.0,9.7
6.193,15.17,20.2,1.7912,0.693,0.253715,666,92.6,13.8
5.887,16.35,20.2,1.7821,0.693,0.253715,666,94.7,12.7
6.471,17.12,20.2,1.7257,0.693,8.71675,666,98.8,13.1
6.405,19.37,20.2,1.6768,0.693,5.87205,666,96.0,12.5
5.747,19.92,20.2,1.6334,0.693,7.67202,666,98.9,8.5
5.852,29.97,20.2,1.5004,0.693,9.91655,666,77.8,6.3
5.987,26.77,20.2,1.5888,0.693,25.0461,666,100.0,5.6
6.343,20.32,20.2,1.5741,0.693,14.2362,666,100.0,7.2
6.404,20.31,20.2,1.639,0.693,9.59571,666,100.0,12.1
5.349,19.77,20.2,1.7028,0.693,24.8017,666,96.0,8.3
5.531,27.38,20.2,1.6074,0.693,41.5292,666,85.4,8.5
4.138,23.34,20.2,1.1781,0.659,20.7162,666,100.0,11.9
5.608,11.43,20.2,1.2852,0.659,11.9511,666,100.0,27.9
5.617,26.4,20.2,1.4547,0.597,7.40389,666,97.9,17.2
6.852,19.78,20.2,1.4655,0.597,0.253715,666,100.0,27.5
5.757,10.11,20.2,1.413,0.597,51.1358,666,100.0,15.0
6.657,21.22,20.2,1.5275,0.597,14.0507,666,100.0,17.2
4.628,34.37,20.2,1.5539,0.597,18.811,666,100.0,17.9
5.155,20.08,20.2,1.5894,0.597,28.6558,666,100.0,16.3
4.519,36.98,20.2,1.6582,0.693,45.7461,666,100.0,7.0
6.434,29.05,20.2,1.8347,0.679,18.0846,666,100.0,7.2
6.782,25.79,20.2,1.8195,0.679,10.8342,666,90.8,7.5
5.304,26.64,20.2,1.6475,0.679,25.9406,666,89.1,10.4
5.957,20.62,20.2,1.8026,0.679,73.5341,666,100.0,8.8
6.824,22.74,20.2,1.794,0.718,11.8123,666,76.5,8.4
6.411,15.02,20.2,1.8589,0.718,11.0874,666,100.0,16.7
6.006,15.7,20.2,1.8746,0.718,7.02259,666,95.3,14.2
5.648,14.1,20.2,1.9512,0.614,12.0482,666,87.6,20.8
6.103,23.29,20.2,2.0218,0.614,7.05042,666,76.80000000000001,13.4
5.565,17.16,20.2,2.0635,0.584,8.79212,666,70.6,11.7
5.896,24.39,20.2,1.9096,0.679,15.8603,666,95.4,8.3
5.837,15.69,20.2,1.9976,0.584,0.253715,666,59.7,10.2
